三生三:0.0892359760754053	生三世:0.0892359760754053	三世枕:0.03978682034066078	
任贤齐:0.27886189459240057	和学妹:0.03983563791088624	贤齐和:0.03983563791088624	
非主流:0.09710325153784674	黑寡妇:0.07993743452740754	导演你:0.04854851846487416	
行李箱:0.22292586225330083	dob:0.07014428160689128	Mod:0.06556779693167443	
秦俊杰:0.09076785922365668	资历平:0.07282899230540965	天衣无:0.0680773467034901	
00:0.10355767303765977	元营业:0.04998409293560968	周一至:0.044409110162366046	
土豆丝:0.05369068596529248	金针菇:0.047077294793504885	牛腱子:0.04028930430207107	
微信号:0.03339379563123086	朋友圈:0.026773887077958948	懂懂笔:0.020048325725509988	
Ash:0.11799676396474214	hiS:0.09833374394133433	iSt:0.09833374394133433	
超时空:0.06286057303873746	时空同:0.02489044422749703	空同居:0.02489044422749703	
杰弗森:0.16247471412514977	新疆队:0.13539145203222586	加盟新:0.08123735706257489	
李依晓:0.08182177901857308	电视剧:0.03064244725289048	很漂亮:0.02914370171835669	
小米是:0.028344827536903615	小米的:0.02263097563759624	雷军说:0.021260174304702315	
子胀气:0.09864447434625544	肚子胀:0.08764214914922742	性胃炎:0.05636649545268927	
德云社:0.11465505519982797	张云雷:0.05451454223935946	郭德纲:0.048434255171487625	
天命奇:0.05388686682141882	命奇御:0.05388686682141882	高自由:0.01796021740444013	
朱迅出:0.0871225909317807	迅出书:0.0871225909317807	癌症复:0.0871225909317807	
张碧晨:0.16450689097333382	演唱会:0.08788395338156531	上座率:0.0854292568155581	
高跟鞋:0.09561026862606017	拇指外:0.04614967973888319	指外翻:0.04614967973888319	
HKT:0.1560177363108891	KT4:0.1560177363108891	T48:0.1560177363108891	
英国留:0.09328508220728264	国留学:0.08455873662524588	留学一:0.045938383063536835	
合唱团:0.12604468145219888	受害者:0.03073617556175152	调查报:0.029214049716409143	
青春同:0.07556533201800487	春同学:0.07556533201800487	同学会:0.0718231636195521	
张艺谋:0.09903614821551589	学导演:0.058081727287853796	年龄尴:0.03872322306126867	
矮个子:0.04453289016374734	省钱姐:0.04330960383790425	仙女们:0.032385972171000706	
缓解瘙:0.059753456866329366	解瘙痒:0.059753456866329366	在咬伤:0.059753456866329366	
榻榻米:0.03292499370544077	做了一:0.022615561735745724	个空间:0.021942285687584565	
闪电侠:0.03587693255219131	原子侠:0.022074287965595622	代闪电:0.01655571597419672	
在第四:0.03743679918489528	四次忍:0.03743679918489528	次忍界:0.03743679918489528	
拼多多:0.09889352196742573	电商平:0.031616877167893714	商平台:0.031616877167893714	
生孩子:0.05179682487046573	三胞胎:0.034982028986018515	都乐了:0.034982028986018515	
优雅气:0.037935952344483936	修身包:0.029662324453769116	身包臀:0.029662324453769116	
吃蝎子:0.05451454223935946	蝎子的:0.05451454223935946	子的好:0.02725727111967973	
梅干菜:0.036920986712726235	五花肉:0.03647755304321168	做几道:0.024609848069751878	
体毛的:0.07282899230540965	有体毛:0.06069186268919112	Bil:0.04538102504033319	
未来归:0.10979969588292326	来归来:0.10979969588292326	持的意:0.05489984794146163	
彭昱畅:0.13117924855790442	央视舞:0.06373702065741799	视舞台:0.06373702065741799	
布偶猫:0.13001581602709067	伯曼猫:0.06500480070949612	偶猫的:0.052003840567596896	
ss第:0.025504751635924673	cla:0.02174429447231314	食物多:0.021253959696603892	
贾静雯:0.13690852075160126	霍思燕:0.08974985471011637	黄圣依:0.062381813485945736	
和文东:0.18670547110089789	故乡永:0.1333592751840418	乡永宁:0.1333592751840418	
NVM:0.06611100095101527	VMe:0.055092500792512725	固态硬:0.055092500792512725	
Cas:0.0887869414639596	eHK:0.08141136608933071	PET:0.06784487661047506	
卡里姆:0.06611100095101527	基金会:0.04898980043854132	慈善组:0.04407400063401018	
泡沫之:0.04335806448766585	沫之夏:0.04335806448766585	大结局:0.039921747696449156	
文艺秋:0.23945868320373453	宋绍山:0.0532117497912765	对文艺:0.047442318223355005	
蚂蚁金:0.12132395135270847	蚁金服:0.12132395135270847	支付宝:0.05486312160160088	
月子里:0.05572129956309216	好不好:0.035695513864693565	婆婆好:0.02980526044003283	
脚冰冷:0.05506764236011903	手脚冰:0.051474816037172605	源于网:0.02971181472622677	
男主迪:0.03872322306126867	主迪亚:0.03872322306126867	迪亚布:0.03872322306126867	
黑猪肉:0.05786421600440902	高猪一:0.02314320055852424	猪一等:0.02314320055852424	
王莫涵:0.1788377772482954	创造1:0.05949677641840902	造10:0.05949677641840902	
战狼2:0.048632656167522305	战狼3:0.03544190998530176	身上缝:0.02362793999020117	
喇叭裤:0.13803652294655616	的喇叭:0.06879187129129873	美女穿:0.0572427551945668	
的片剂:0.0576342755047674	泡腾片:0.04802649138460669	咀嚼片:0.04802649138460669	
铜锣烧:0.08768190566063869	的铜锣:0.03288149144875181	哆啦A:0.03073617556175152	
陈都灵:0.22294285092279767	沈月与:0.08360512274807373	月与陈:0.08360512274807373	
▼20:0.10789181119670765	▼雷军:0.09710325153784674	▼小米:0.05394901290240304	
邓兆尊:0.1172572256010299	是邓兆:0.046901647318792275	都是配:0.0351746818370696	
的特战:0.05168689555457736	特战单:0.02584655508133789	战单位:0.024160225696716043	
汉光演:0.12572773643917934	光演习:0.12572773643917934	降落伞:0.05388686682141882	
牵引绳:0.06708047981436913	防走丢:0.06228901697048562	可优比:0.05749755412660211	
蜡笔小:0.09117449923297867	笔小新:0.09117449923297867	演唱主:0.049521982972306484	
黑豆芽:0.0651415220876614	备好原:0.04871547311677344	好原材:0.04871547311677344	
业公司:0.029545301248737145	创业公:0.02685566804422175	IPO:0.02232129440754854	
者联盟:0.04238745974903436	捍卫者:0.032328391327992236	Net:0.032328391327992236	
美系步:0.06112688525608067	系步枪:0.06112688525608067	想做好:0.04074918530135431	
M4A:0.13222821651012895	4A1:0.13222821651012895	补漏君:0.08814800126802036	
奚梦瑶:0.06286183254986168	国产超:0.04716887546702443	产超模:0.04716887546702443	
的清真:0.041513582097460235	清真老:0.019159636767435616	牛羊肉:0.019058047567473285	
我想要:0.04199210692103875	瓜果蔬:0.03149563384280366	果蔬菜:0.029440736674911493	
宋智孝:0.09220852668525456	东南亚:0.07875936774732846	韩国企:0.05918792752937295	
李亚鹏:0.20147269719007113	徐静蕾:0.1175247718370431	亚鹏惊:0.03592043480888026	
乔欣近:0.04454631084949027	求推荐:0.04454631084949027	荐你的:0.04454631084949027	
八宝粥:0.04697273021967923	坑人的:0.03350295225859403	被坑过:0.03350295225859403	
轰炸机:0.049439824874590865	两架B:0.035385978512415955	52H:0.030961177546339355	
想吃糕:0.03138998550513049	吃糕点:0.03138998550513049	糕点别:0.03138998550513049	
迈克尔:0.0900128325020025	克尔·:0.07875936774732846	约翰逊:0.05007965052501057	
岛礁起:0.07625324136764028	礁起降:0.07625324136764028	轰炸机:0.07102881303490247	
贾静雯:0.09437362893295362	修杰楷:0.06325228122574106	重温自:0.047442318223355005	
101:0.09569199473577789	火箭少:0.038589490354939235	箭少女:0.038589490354939235	
保护肝:0.036208700882989275	肝细胞:0.036208700882989275	患者要:0.028313754496411502	
黎巴嫩:0.11080371108661907	以色列:0.10506235262313234	叙利亚:0.08408277528960974	
补给舰:0.04490323968149461	吉布提:0.04388756239105751	的补给:0.03511253575608538	
荷兰豆:0.02458498963735819	50克:0.02352228223940616	娃娃菜:0.021842899391063045	
上海高:0.15157429152051724	海高级:0.09473548585234788	高级定:0.09358691134783143	
训练舰:0.1294689305144295	风帆训:0.11508832737468055	帆训练:0.11508832737468055	
胡一天:0.043999425336829115	摸头杀:0.03299956900262183	创始人:0.03103303739128184	
我是大:0.08494767622131065	是大侦:0.08494767622131065	大侦探:0.08151461268434153	
这就是:0.022749197560713804	就是街:0.02021329944433838	是街舞:0.02021329944433838	
胡歌的:0.04330844615416365	的造型:0.042637138736161366	还拍了:0.03386961413640094	
亚运会:0.052150198369208915	亚洲杯:0.0440242837692228	中国足:0.0440242837692228	
哈哈哈:0.0703763673877371	和女儿:0.028828447894073017	来越年:0.022820040937406284	
乔智才:0.0830707447614906	黄俪文:0.07617245146236079	脱身:0.06527153063916842	
芋头:0.02945102777842276	芋头去:0.023559579301118527	头去皮:0.023559579301118527	
婚纱照:0.0918781214533095	婚的时:0.055820135116951906	结婚的:0.05213849153149052	
鬼泣5:0.06760872150273502	鬼泣:0.028170818510147792	开发团:0.02502878234066956	
扶摇:0.07381738858121588	老司机:0.031694684155153335	楚乔传:0.023927512402219842	
丢伤害:0.04603160218501317	次觉醒:0.04603160218501317	剑魔的:0.03288149144875181	
烤红薯:0.05881505104346762	糖葫芦:0.05881505104346762	有害物:0.04841778434351263	
元宝大:0.09216885270769952	宝大人:0.09216885270769952	谓是非:0.05266880363412807	
燃烧弹:0.028667987158021567	轰炸机:0.025434418136004895	凝固汽:0.02229801385713882	
牛皮癣:0.11691542215561668	丰厚的:0.02522329886394351	维生素:0.018780636940583066	
短视频:0.04011958998591828	今日头:0.031696266689972545	日头条:0.031696266689972545	
食管癌:0.030236589264584515	夫妻癌:0.02830132528021466	预防支:0.020216120144167387	
绫波丽:0.20375835572296838	鬼肆A:0.20375835572296838	VA绫:0.10187607055743497	
刘嘉玲:0.041830587913724376	700:0.04003345794443835	电视剧:0.03846043412655704	
重增长:0.04620561121176899	消化功:0.043190978132984795	体重增:0.0410520619243058	
高端制:0.04124013934112966	端制造:0.04124013934112966	国家具:0.028866854617171075	
佐良娜:0.042713001460455716	奇拉比:0.03203630474736639	拉比回:0.02135339342617865	
你可以:0.02485365339397699	很累很:0.018513317525199708	累很累:0.018513317525199708	
傅红雪:0.14216537485950603	钟汉良:0.05695283787703873	汉良版:0.04061867853128744	
快速战:0.048465679968189936	速战斗:0.048465679968189936	战斗支:0.048465679968189936	
隐世者:0.07980799719993778	世者们:0.07448829266768837	吴启华:0.0266047372693454	
自动驾:0.15075796890131077	动驾驶:0.15075796890131077	戴姆勒:0.12726274463948964	
咖啡因:0.03686482141653282	哺乳期:0.035019759536653594	乳期间:0.021063952482878665	
无人机:0.1008100675459243	0公里:0.027495367705507222	型无人:0.026856385904481965	
大健康:0.0355102706743844	产业大:0.03319344304665436	业大脑:0.028406973617887837	
驻日美:0.07125048184841042	日美军:0.06333307113102055	驻韩美:0.05541566041363068	
甲状腺:0.1760259978688254	状腺素:0.07237030337333217	状腺功:0.05307233035950896	
种水果:0.10954810199747747	4种水:0.06754871469137151	也是非:0.06738250721723449	
4AM:0.09469819820375734	OMG:0.08851972088640515	排名第:0.0413608835965622	
黄圣依:0.17115406535989197	邓莎一:0.034783161526869	和邓莎:0.03251377331678761	
垂体瘤:0.17913607843701965	儿童垂:0.06889514537910842	童垂体:0.06889514537910842	
旗舰店:0.11162079657721456	Sur:0.06779515974568769	urf:0.06779515974568769	
韩东君:0.1593487662516434	的岳绮:0.11951312834075715	岳绮罗:0.11951312834075715	
参加高:0.08040903534682789	加高考:0.08040903534682789	的分数:0.05360786405152455	
黄晓明:0.15438766974384321	小雨的:0.04115934943585017	晓明也:0.03292499370544077	
吴宣仪:0.019458104361328277	rap:0.01898343872763305	01女:0.014830644025377994	
玻璃墙:0.054197597226339926	的书房:0.054197597226339926	儿童房:0.05066153601852864	
tep:0.13861196089188302	复15:0.13480727887097416	15次:0.13480727887097416	
ES版:0.06092801779693116	CPU:0.060807412067253215	工程样:0.03807690381903277	
蛋炒饭:0.09531344440550114	冷藏过:0.03812662068382014	藏过的:0.03812662068382014	
合展台:0.11385783497119296	联合展:0.1064293087255433	国联合:0.10436812840490227	
家的路:0.041090988746767525	的路有:0.041090988746767525	路有多:0.041090988746767525	
等合演:0.04079890216614168	伍仕贤:0.02039634377902163	偶像剧:0.01900411871257415	
杨超越:0.08213357043261875	快点结:0.04115934943585017	点结束:0.04115934943585017	
劳力士:0.07054823113328872	欧米茄:0.056981476672338376	个品牌:0.03988703367063687	
ASH:0.045119613605769056	CAS:0.0411520309859786	SH成:0.036200092173309266	
易烊千:0.12224994031113706	烊千玺:0.12224994031113706	爱街舞:0.03602608314655344	
井柏然:0.05297613661000352	的井柏:0.019060083088460474	林见清:0.01431953747112408	
国女排:0.08950900044157482	中国女:0.06954220275836505	李盈莹:0.0639358881165675	
机器人:0.04815429304276071	时间线:0.03783790500894119	复制人:0.029544246899899096	
刘德华:0.09905303959421036	朱丽倩:0.058081727287853796	歌迷聚:0.029040863643926898	
如何准:0.045198844699824596	何准确:0.045198844699824596	准确便:0.045198844699824596	
35B:0.13810102116313794	黄蜂:0.08631469187898581	美韩联:0.034528362594833696	
牛仔裙:0.11038386904417495	的牛仔:0.07932005624701019	牛仔吊:0.03311764655649185	
辽宁舰:0.06001063084841538	艘航母:0.05820244337404163	这艘航:0.05110884002878282	
朱天天:0.1334400650893213	村花杨:0.057186823721681004	花杨超:0.05345573379686969	
衫搭配:0.08040903534682789	女人味:0.07225935062712432	有女人:0.07049975933045105	
尼日尔:0.08833382831071511	nbs:0.04634691157349419	bsp:0.04634691157349419	
方季惟:0.12358369664522369	季惟推:0.052967104822852336	小专辑:0.052967104822852336	
眼线笔:0.035278925380177094	色口红:0.020968087724076472	双色口:0.016773227257641493	
蔡炳坤:0.05451454223935946	靳远的:0.05095780231103465	的秘密:0.040396552871487544	
魔兽争:0.05555238179179597	兽争霸:0.05555238179179597	争霸3:0.04073675608515746	
耀9i:0.06033763002758105	荣耀9:0.056400969292958895	红米6:0.03771024194122585	
刘嘉玲:0.14530276551446286	52岁:0.05095780231103465	还是那:0.039560491974243994	
ker:0.06927306449840487	ake:0.06772363275514089	Fak:0.06212878428140853	
斑马鱼:0.06353193859017006	肠道炎:0.028879283833367922	道炎症:0.028879283833367922	
闵春晓:0.09006831517043282	烽火线:0.07719786179860046	解放初:0.025734692135566294	
Tik:0.03670347542928146	ikT:0.03670347542928146	kTo:0.03670347542928146	
王铭铎:0.13588747282942573	铭铎饰:0.05451454223935946	铎饰演:0.05451454223935946	
无人机:0.15216898378596974	的彩虹:0.058381887052655984	图片:0.04587480219450988	
土耳其:0.15793224406206385	库尔德:0.04183052711047977	政变的:0.03585207411979762	
oco:0.0351975973783127	ana:0.033628420325480385	lat:0.03210250492391455	
去口臭:0.0741278453979799	口腔中:0.05774288132372144	口腔异:0.03706392269898995	
陈女士:0.02493300769086983	生机无:0.018699755768152374	机无限:0.018699755768152374	
黄毅清:0.10384610132463482	判决结:0.03194930023398848	决结果:0.03194930023398848	
薛之谦:0.08752619846995233	李小璐:0.08398892689451946	棒球队:0.03283798919206286	
贺兰静:0.03800854312995012	兰静霆:0.03800854312995012	关皮皮:0.03800854312995012	
李若彤:0.07322424739290832	小龙女:0.05799742548122503	若彤的:0.03917067484435507	
杜特尔:0.10311809722106431	特尔特:0.10311809722106431	菲律宾:0.05297613661000352	
对立色:0.07532726476097537	色彩的:0.0585239908098412	来源网:0.057096342634650174	
爱的谎:0.0235212199677815	的谎言:0.0235212199677815	谎言之:0.0235212199677815	
万茜:0.01075127201027039	的底气:0.01075127201027039	不红的:0.01075127201027039	
詹姆斯:0.08183508953353671	阿克伦:0.026331294513014823	魔术师:0.023394429908982335	
财务管:0.0772662224876831	务管理:0.0772662224876831	P2P:0.06622907850488528	
Max:0.147748862433831	米Ma:0.13700953121583379	小米M:0.1269483200232378	
悉的味:0.036063370795143976	陈妈妈:0.036063370795143976	感恩计:0.036063370795143976	
网络谜:0.03247132731425595	络谜踪:0.03247132731425595	摄像头:0.024612522916099923	
的原型:0.06668268350502235	峡谷中:0.05612793957241414	她的原:0.0450310502811672	
红薯粉:0.044453091728013934	小米椒:0.037898864122918104	肥牛片:0.03555998753917178	
张子枫:0.09786663195782043	小哥哥:0.025500801485195696	多家长:0.0238813606103378	
巴莫特:0.055478681145124484	火箭的:0.03698755353587184	箭需要:0.03253968800333859	
是街舞:0.023282896930190828	这:0.020371895314440756	就是街:0.020371895314440756	
小清华:0.10203143575989553	称为是:0.03296312167963761	大学这:0.03296312167963761	
沙群岛:0.05249141606047756	九段线:0.03743679918489528	属某某:0.03743679918489528	
上海女:0.09076785922365668	海女子:0.09076785922365668	女子图:0.08278620885231307	
倪妮的:0.07149893192478506	古装偶:0.05736704735653524	装偶像:0.05736704735653524	
郭敬明:0.14397647611857634	爵迹2:0.12628495946643664	力挺郭:0.06755279002984922	
郭德纲:0.18372661204186624	德云社:0.05087066516617994	德纲的:0.04069304664714977	
花园的:0.026368582161605356	王诗龄:0.026368582161605356	的面积:0.02464819370790242	
董文华:0.14443992142352857	歌舞团:0.027000896618979604	总政歌:0.02166412383109976	
他的成:0.0549064628695373	成员都:0.04829993414093727	个游戏:0.04673567924408237	
赵品霖:0.11403184399794879	SWI:0.08959600495495272	WIN:0.08959600495495272	
外耳道:0.12074362074424475	耳朵眼:0.06392345890037066	再造的:0.042613567730880965	
仙草冻:0.08484182975965975	芋圆仙:0.04949313889583433	圆仙草:0.04949313889583433	
占南弦:0.12886537636198697	南弦和:0.03347187921810192	温暖的:0.0317604760062431	
减肥教:0.07392897793883038	肥教程:0.07392897793883038	经典减:0.06930530951360428	
HIN:0.10444891831018177	INe:0.10444891831018177	Nee:0.10444891831018177	
井柏然:0.03042994307641728	周冬雨:0.024909286350303615	来的我:0.014905087320437346	
拉肚子:0.07575004338953727	宝宝拉:0.050754482306373666	宝拉肚:0.050754482306373666	
王思聪:0.20916981165223722	思聪的:0.07605910917218157	玩手机:0.034688083798789994	
曼联的:0.015511661813661788	C罗和:0.012410572372549115	和鲁尼:0.012410572372549115	
EVA:0.05735947788636071	新世纪:0.05578853689953601	世纪福:0.05578853689953601	
0领先:0.05763250760690547	国安3:0.036989347401808884	中超预:0.024659564934539253	
李冰冰:0.11933400204676141	封面大:0.055987404358685516	硬照女:0.055987404358685516	
赛博朋:0.07691198982607303	博朋克:0.07691198982607303	朋克2:0.07691198982607303	
高镇同:0.06350708015777637	0飞行:0.03628709668668717	飞行小:0.03628709668668717	
黄皮果:0.10187607055743497	皮果树:0.019103705294549814	的水果:0.010590161551817174	
胎儿入:0.06390481507607539	儿入盆:0.06390481507607539	准妈妈:0.04964955016067957	
节目组:0.04381354942625843	彭昱畅:0.034379491841547434	去找导:0.033409733137117696	
不放心:0.025629043797893117	悠悠就:0.025629043797893117	宝宝掉:0.025629043797893117	
发动机:0.08557064787764192	压气机:0.08418929590932542	机喘振:0.03826955667008385	
AMD:0.09179026838995195	Xeo:0.08417065208503015	eon:0.07176041041252659	
作弊者:0.06541496484399198	排名和:0.06541496484399198	名和奖:0.06541496484399198	
重量训:0.0933123405978092	量训练:0.0933123405978092	减脂期:0.0697794255996521	
个数字:0.13057591643915428	岁月神:0.11681598842604192	月神偷:0.11681598842604192	
扬州队:0.2193383782257128	岁组男:0.14622351394777572	组男子:0.14622351394777572	
元地址:0.03637104426235613	店里的:0.029120248149120235	人均:0.029120248149120235	
M81:0.11989843404285933	魅蓝新:0.07993228936190622	蓝新机:0.07993228936190622	
鸡皮肤:0.07369282283109034	鸡皮疙:0.04912647701802742	皮疙瘩:0.04912647701802742	
动物世:0.10417892459822485	物世界:0.09996865207202835	郑开司:0.07212132250911665	
少女心:0.06940902865670545	OS美:0.05052476384017241	S美图:0.05052476384017241	
图文来:0.135972936631644	文来自:0.135972936631644	贾乃亮:0.12321766867644113	
小镇故:0.0639607465489612	镇故事:0.0639607465489612	综艺美:0.0319803732744806	
黄国伦:0.16478033372966439	寇乃馨:0.16478033372966439	乃馨还:0.04708187095364652	
XZ2:0.06454491971021288	Z2P:0.05532244129215434	2Pr:0.05532244129215434	
燕麦片:0.06078576324474547	的早餐:0.03754629324778521	香滑浓:0.03421141758181416	
王俊凯:0.08337168288843111	陈立农:0.07711056405342841	少年团:0.0768440955271767	
及其同:0.045198844699824596	其同人:0.045198844699824596	同人作:0.045198844699824596	
前田敦:0.10533139266015772	田敦子:0.10533139266015772	胜地凉:0.09216885270769952	
功效:0.12895371973667275	汤材料:0.09896141935927497	一起煲:0.0923615055587506	
特种兵:0.04799215870619211	特种任:0.042093050107815444	种任务:0.042093050107815444	
卢靖姗:0.10288905167747779	的卢靖:0.04115934943585017	跨界歌:0.036568635659001654	
俄罗斯:0.10766050774413784	罗斯海:0.0639358881165675	斯海军:0.0639358881165675	
五月天:0.04922591074760217	凤凰传:0.04307344873016421	凰传奇:0.04307344873016421	
F16:0.14627422049610722	6战斗:0.08941578132009849	斗机率:0.08941578132009849	
少年团:0.034554289484810395	起的挑:0.03055101341184349	不起的:0.0271435018722108	
时空同:0.03541848034567566	空同居:0.03541848034567566	超时空:0.03462627462844446	
刘作虎:0.14847320207940456	执行董:0.10605228719957469	行董事:0.10605228719957469	
俄罗斯:0.043081207977075264	特朗普:0.029711528638001816	400:0.02462475539239982	
刘恺威:0.06060097967495594	的纪宁:0.04328973356382013	莽荒纪:0.02597267830969402	
李佳航:0.15187423433876995	小燕子:0.10826480567744291	还珠格:0.07217653711829528	
空警6:0.12798985378700503	警60:0.12798985378700503	预警机:0.08486844757736645	
支气管:0.05313853987350626	气管哮:0.03262047790861808	管哮喘:0.03262047790861808	
糖尿病:0.0758761199121905	含糖量:0.059198099936441206	尿病患:0.04619974000474865	
鸡米花:0.1210667803653627	微波炉:0.1032165206177223	去肯德:0.080709115374209	
好莱坞:0.03225902862423248	人鱼帝:0.026673097958428045	鱼帝国:0.026673097958428045	
满足感:0.01693480706820047	坚持住:0.015829914648605725	世界第:0.013157154934148771	
崔珉焕:0.06484943550703556	金律喜:0.04323502854072318	FTI:0.03242161044946857	
太平公:0.04221583281258194	平公主:0.04221583281258194	梅艳芳:0.02367806682851998	
孩子的:0.03369536225388689	的爸爸:0.02582232400936149	建议:0.02015191703339936	
黄泓翔:0.05043154471869608	朗读者:0.04714119536639834	纪录片:0.016990884240836827	
银监会:0.08323224626216841	保监会:0.08323224626216841	银保监:0.05549023571081174	
小姐姐:0.0643122033051614	高秋梓:0.06238698691092552	00斤:0.043760274146035574	
张卫健:0.16226679114844175	白妻子:0.10415683172955592	张茜结:0.10415683172955592	
化妆性:0.06107716839129329	妆性眼:0.06107716839129329	性眼病:0.06107716839129329	
刘诗诗:0.08163594513624589	新造型:0.04635115191971563	诗诗新:0.033055500475507635	
OOX:0.12506277337264818	BOO:0.1169031935370795	OXN:0.10582234669993307	
毛不易:0.03306250797615913	的他们:0.022975937181605583	最怂的:0.01860653664667604	
滑滑梯:0.08164752119707075	滑下来:0.04802649138460669	滑梯上:0.03841870726444598	
香港导:0.03027969167355656	港导演:0.03027969167355656	电视剧:0.017714847529648994	
达利欧:0.10104952768034482	生产力:0.05384679939622769	进入紧:0.025262381920086206	
tit:0.056981476672338376	iti:0.05467863522277573	in基:0.05395532009403669	
仙女甘:0.0997009577229872	女甘露:0.0997009577229872	出新奇:0.06646523361262534	
平底锅:0.03388510580838755	摊煎饼:0.03270748242199599	的煎饼:0.03057351955802273	
超时空:0.031273710733045135	雷佳音:0.028689840227050276	时空同:0.02399073286348266	
小一岁:0.06726070344922337	一岁的:0.06726070344922337	宝宝吃:0.06443948270235965	
暮光之:0.09139202669539674	光之城:0.09139202669539674	位主角:0.08119860425808219	
猕猴桃:0.0968209862195639	老胃病:0.05178632928415212	大枣的:0.05178632928415212	
X2S:0.0933123405978092	米MI:0.08722428199956513	MIX:0.08722428199956513	
陈伟霆:0.13532440222849423	齐舞大:0.05649700222275614	舞大秀:0.05649700222275614	
做法步:0.07609977317311377	法步骤:0.07233113802399542	以上食:0.06784487661047506	
星球大:0.09836621825498744	球大战:0.09349489772216141	流水线:0.05464660810988406	
黄飞鸿:0.12746844674976782	赵文卓:0.10571669836225989	飞鸿之:0.05367412158253889	
冯小刚:0.1441217536438545	范冰冰:0.10017302510781084	为了电:0.06446412980493339	
火箭莫:0.04260735312278254	箭莫雷:0.04260735312278254	中国市:0.03310291898294458	
成龙与:0.18551226634600082	很开心:0.0960834433723158	龙与各:0.0927530258689512	
放肆嗨:0.026847106985183864	少年西:0.026847106985183864	年西游:0.026847106985183864	
的宠物:0.06612501595231826	这鱼经:0.03721307329335208	鱼经常:0.03721307329335208	
vel:0.06424209806939493	eve:0.05854330406479041	SAT:0.05100725595921143	
的二狗:0.04560900883432046	把树根:0.04560900883432046	树根的:0.04560900883432046	
王俊凯:0.053012312516323164	中餐厅:0.04112749031461307	位顾客:0.029973054858690226	
新英雄:0.1544999669703919	王者荣:0.10273203138858107	者荣耀:0.10273203138858107	
宁广友:0.15809963002386054	格斗选:0.07297192829167337	斗选手:0.07297192829167337	
吃货宇:0.06053028287863214	货宇宙:0.06053028287863214	包墩墩:0.05380607691613933	
学生的:0.06919854056822755	教:0.049087258268153536	学:0.04432076678768025	
童用药:0.043876457005841855	儿童用:0.04170359431261354	注射液:0.02816460390204937	
11周:0.03950004907357144	1周莉:0.03950004907357144	周莉莉:0.03950004907357144	
荣耀N:0.1683102311295682	耀No:0.1683102311295682	e10:0.15536520246055477	
步行速:0.0555896694403865	行速度:0.04739344884377218	步行者:0.04157022723868718	
稍微疯:0.05114622465001463	微疯狂:0.05114622465001463	疯狂也:0.05114622465001463	
gt:0.06628232151948306	口呼吸:0.023672257685529663	长出来:0.020259622400856343	
电子战:0.04536432290115621	10K:0.03647353492963984	18G:0.03647353492963984	
14斤:0.06460085118309868	瘦下来:0.04830883310745146	是胖的:0.038760510709859204	
B计划:0.08783727086309925	有B计:0.05489984794146163	刘强东:0.054234671579203024	
回收垃:0.050185186293322886	收垃圾:0.050185186293322886	垃圾桶:0.04391131186378374	
个专业:0.0585464069003558	就业率:0.05349058865481157	这个专:0.05349058865481157	
昴昂昴:0.045907310023044726	王小明:0.03442892886525894	昂昴昂:0.028692845590415256	
糖饮料:0.04834965100572464	含糖饮:0.0354543392014986	糖尿病:0.03381462351795022	
吴映洁:0.054756911955197926	提款机:0.04106613031437384	亲妈只:0.02737534867354975	
白血病:0.07968675073272959	性白血:0.03872322306126867	婴儿床:0.03872322306126867	
消声器:0.0839842138420775	狙击枪:0.038760510709859204	在游戏:0.03492474742764947	
半导体:0.03959511862198042	海思半:0.03025892683121765	思半导:0.03025892683121765	
舰载机:0.11248857600918136	夜晚着:0.05937436577232561	晚着舰:0.05937436577232561	
的朋克:0.021348600489404054	色族群:0.017127459919251558	外星人:0.017034090333451934	
德国空:0.04056524550136286	台风战:0.03472101544588478	风战机:0.03472101544588478	
冥王星:0.04018365596439789	王星时:0.04018365596439789	星时刻:0.04018365596439789	
给予敌:0.128431090961993	予敌方:0.128431090961993	方全体:0.09037904557535392	
的生离:0.07578714576025862	生离死:0.07084249876687958	离死别:0.07084249876687958	
倩女幽:0.06940183130528169	女幽魂:0.06940183130528169	张国荣:0.0461490227011354	
许鞍华:0.0885270923620241	阴阳师:0.07082167388961928	郭敬明:0.06037962470918142	
伴娘们:0.20327983089938986	的礼服:0.08665398052989313	娘们第:0.07259905180576803	
潜伏:0.03812662068382014	30集:0.03563909224557656	成经典:0.030501296547056113	
亿美元:0.054401813192759524	二手车:0.042940401558214686	优信的:0.03222274299031906	
舞娘:0.0316447844371658	跨文化:0.025312098784873584	蔡依林:0.023660639399549037	
杨一一:0.12225377051216134	功夫之:0.06112688525608067	夫之爱:0.06112688525608067	
让宝宝:0.03426154062214471	宝宝睡:0.03312095687234793	宝宝的:0.0136853311832636	
的隐身:0.045741191905732656	歼20:0.0455795093635078	超材料:0.04078025834184642	
保护铁:0.037971255481359587	护铁观:0.037971255481359587	铁观音:0.037971255481359587	
的课堂:0.02374780340772552	的教学:0.0203576264041581	个学生:0.0135717509361054	
叶抱一:0.03637104426235613	吴镇宇:0.025139211559026806	东方华:0.021997500296763187	
铠甲:0.08320117322167629	叙利亚:0.0592130974476511	利亚防:0.04786152909719728	
360:0.059018492107966565	猎豹移:0.0387586020313752	豹移动:0.0387586020313752	
亲子阅:0.12392644741236916	子阅读:0.11302900438056925	的亲子:0.04647314392251222	
