D012650	三生三世,凤九,东华
D060316	航母,网络
D015108	雷佳音,恋爱,超时空同居
D001787	张艺兴,极挑4
D001066	星女郎,金像奖,大美女
D056792	东海舰队,转业干部
D045540	吃货,长春
D067480	军训,教官,大学
D089088	吸尘器,美的
D014466	黄小琥,'萧煌奇,华纳
D060729	烧烤,军营,兵哥
D096384	OPPOFindX,旗舰,口碑,国产
D076731	锥子脸,素颜
D069588	班主任,毕业,学生,家长
D068502	就业率,日本,留学,院校
D051302	中医,西医,肾病
D003415	马苏,大长腿
D038003	张柏芝,影后,演技
D085686	中华田园犬,收养,宝宝,孩子,食物
D037767	镇魂,网剧,暑期档
D034214	伊阿索密码,梁静,赵立新
D102527	粤菜,金钱肚,果冻
D012962	神片,大表姐,电影,牺牲
D084806	英雄传说:闪之轨迹3,RPG,宣传片
D091824	小米Max,真机,曝光,视频
D002646	复联3,知识点,无障碍
D001948	温暖的弦,张翰,张钧甯
D065393	辅食,米饭,馒头,营养餐,鳕鱼
D082118	Steam,游戏,通关,高玩
D026194	考研,神器,韩国
D002941	BLACKPINK,(G)I-DLE,女团,广告,成员
D012268	阿甘正传,法国,传奇,史诗级
D103296	早餐,分分钟
D090840	小米Max,雷军,电量,发布,自曝
D042717	恒大,外援,离队,天河
D023941	宫心计2深宫计,TVB,戏骨,告别
D099215	家庭,聚餐,老公,能干
D048186	抽烟,男人,身体,伤害
D100632	豆角,鸡蛋,孩子,口味,鲜嫩味美
D008790	难产,姐姐,妹妹,妹夫
D035442	侏罗纪世界,恐龙,萌宠,巨怪
D099576	特色小吃,韩国
D018995	跑男,热巴,郑爽,赵丽颖,关晓彤
D088548	区块链,清华大学,腾讯,研究中心
D071052	藿香正气水,万能药,孩子,中暑
D018758	李湘,豪宅,宋祖德,来路不正
D088032	新房,装修,硬装
D080956	销量,日本,游戏
D059502	韩国,导火索,韩朝
D045826	生煎包,早餐店,上海,香脆,多汁
D096547	吃瓜群众,拍案,思量
D003062	甄嬛传,曹琴默,甄嬛,华妃
D078077	OMG,战队,RW,马哥,微博,夺冠
D057273	印度,中国,美国,垄断
D012538	残疾,车祸,起子,抛弃,写歌
D075533	杜嘉班纳,钟表,画风
D031494	倚天屠龙记,陈钰琪,敏敏,晒照,杀青
D052148	脂肪肝,体检,不药而愈,调理
D088101	宠物,小夫妻,宝宝,离婚
D063627	亚丁湾,徐州舰,中国海军,训练
D099530	冰箱,奶油,水果杯,食材
D033473	杰森・斯坦森,走红毯,脚伤,拖鞋
D041523	吕会会,标枪,女子,冠军
D086222	哈士奇,宠物店,洗澡,优惠价
D014419	王源,西装,漫画,王子
D102198	手冲咖啡,日式,教程
D011147	黄圣依,安迪,姥姥,宠溺
D002778	李小璐,长文,意味深长
D001509	张翰,演员,面部
D025151	名模,性感,身材,时尚大片
D090585	铭瑄,GTX1050Ti,装机,显卡
D065975	孕妇,部位,流产,小动作
D089291	iPhone,充电器,曝光
D046708	憋尿,膀胱,生病
D063142	苏35,运输机,战斗机,性能
D007901	如萍,大嘴巴,绿茶
D043945	库里,全联盟,尴尬
D108139	豆腐,菜肴,汤汁
D000346	经常请吃饭的漂亮姐姐,丁海寅,孙艺珍,吉海妍,桥段
D034991	雄鹰,克拉玛依,天山,飞机,国产
D056784	军工,法国,遇袭,战场
D096318	人脸识别,屏下镜头,vivo
D001922	婚礼,嫁妆,赌王
D089140	微软,谷歌,苹果,HoloLens,AR
D034982	蔡康永,小S,康熙来了
D029491	谭维维,超女,艾梦萌
D034073	杨幂,吴磊,佟丽娅,电影频道
D052045	女人,桂圆,身体
D034155	刘冬沁,法医秦明2,剧组小公主
D105669	开胃菜,胃口,菜谱
D023677	弗里曼,性骚扰,演员
D076261	金晨,董璇,条纹,T恤衫
D092740	华为,马赛克,麒麟
D074734	江疏影,碎花裙,姚晨,气质
D100097	切菜,省时,省力
D090241	中兴通讯,美国商务部,解禁
D066888	枕头,儿科医生,宝宝
D081103	外星人,Steam,鬼畜,地球
D044857	女性,动作,心动,男人
D107230	海盐,蛋糕,爆浆,网红,甜品
D047383	深蹲,膝盖
D036664	莫小贝,王莎莎,硕士,毕业,上戏
D028418	勇者胜,梅俪儿,抢婚
D058755	以色列,迫击炮,伊朗
D080719	DNF,卢克,剑魂,土豪,狗托
D082012	蜘蛛侠,PS4Pro,主机
D008779	易烊千玺,井柏然,刘昊然,男性,争议
D042022	巴西,内马尔
D092295	迅雷,极客帮,区块链
D009115	九州缥缈录,许晴,白凌波,公主
D071706	二胎,东莞
D039952	比伯海莉,婚戒,粉丝,热吻
D008711	母其弥雅,戛纳红毯
D082591	NBA游乐场2,NBA2K,跳票,联动
D021328	赵雅芝,纱裙,妩媚,裙子
D083770	动漫界,佳作,禁播,国产动漫
D080987	海贼王,小玉,剧透
D033339	暹罗决,角色海报,定档
D040497	库里,总冠军,控卫
D103319	螃蟹,水蟹粥,鲜美
D063063	航母打击群,海上雄风
D024920	漫威,跑男,综艺,联合国
D009276	张翰,皮衣,身材
D058136	054A,导弹护卫舰,编队
D025648	陈伟霆,鹿晗,热血街舞团,苏州,总决赛
D012369	颖儿,中国内地,女演员,影视
D006373	复仇者联盟3,品牌
D025483	章龄之,美人坯子,童年照,儿童节
D063492	歼20,座舱,卫星图,三维显示
D090213	高通,华为,5G,专利,联想
D049701	米诺地尔,神药,多毛症
D103660	重庆,火锅店
D033661	蔡徐坤,Ninepercent,身高
D035539	赵宇彤,chic,混搭,街拍
D054041	螨虫,毛囊,芒种,痘痘
D081291	DNF,师傅,徒弟
D040997	火箭,火枪手,西决,续约
D001494	朴有天,韩国FM,退伍,复出
D063221	以色列,伊朗,叙利亚,军事
D000210	爱是永恒,陈列
D026717	超时空同居,初恋的地方,邓丽君
D072908	大学生,农民工,全家福,手绘,校方
D060656	辽宁舰,服役,寿命
D005974	机器人争霸,baby,背水一战
D091643	中国移动,携号转网
D024255	如果,爱,田岷,张柏芝
D003586	温暖的弦,李昕哲,漂亮姐姐
D049679	睡懒觉,熬夜
D092373	Uber,并购,共享出行
D011121	孙红雷,黄渤,合影,抢镜
D040573	梅西,C罗,巴萨
D008340	田亮,奇葩,逗趣
D025680	林正英,僵尸片
D005936	李连杰,黄秋燕,武打女星
D020709	杜江,秀恩爱
D050851	高血压,痛风
D008858	归去来,唐嫣,迪丽热巴,傻白甜
D021490	刘硕,暖暖的味道,北京卫视
D015825	誓言,李晟,犬系少女
D027116	非诚勿扰,舒淇,葛优
D080223	新大头,大电影,动画电影
D005999	太阳女神,综艺节目,贾玲
D002811	明星,撞脸,易烊千玺
D002204	吴柏松,多尔衮,应勤,迷谷
D098257	全面屏,国产手机,华为
D027845	侏罗纪世界2,李易峰,周冬雨
D012308	王晶,周星驰,影帝
D018908	足球解说大会,世界杯
D088402	拼多多,阿里,京东,估值
D089976	刘学辉,互联网产业,实体经济
D034186	郑爽,迪丽热巴,金鹰女神
D073316	孕妇,香水,胎儿,大脑,塑料
D096084	人脸识别,微软,政府
D042956	C罗,尤文,意甲,帕尔马,门票
D092042	物灵科技,融资,儿童,启蒙教育,AI
D067676	分数线,清华大学,理工类
D056831	国民党,翻转台中,选举
D014250	张艺兴,黑粉
D005793	荒城纪,黑色幽默,不落俗套
D013972	霍思燕,放风筝
D073258	师范,教师,高考成绩
D004132	宋仲基,阿斯达,回归,新剧
D044896	习惯,男人,长寿
D055951	华盛顿,美国务院,伊朗,政权
D105093	心血管疾病,血液,血管,碱性食物
D059807	舰载直升机,加拿大
D008416	贝克汉姆,小七,死侍2
D007849	张韶涵,歌手,迪丽热巴
D037798	超人总动员2,超级英雄,电影
D083686	以太坊,赌约,人性
D021834	Ayawawa,女人
D105769	洋葱,炒鸡蛋
D031991	台湾,演员,吴奇隆,苏有朋,钟汉良
D042866	帕尔马,AC米兰
D042643	克洛普,拉莫斯,野蛮,残忍
D010377	张雪迎,阚清子,黑暗料理
D073833	拼音,手指操,幼儿园
D016151	童年照,明星,六一,刘亦菲
D089384	迅雷,超级账本,区块链技术
D105443	菜谱,绿豆冰糕,夏日,小点心
D023716	飞虎,黄宗泽
D028544	赵薇,力挺,失事
D009820	刘嘉玲,好媳妇
D013919	谢琳·伍德蕾,新片,青春密语
D089909	索尼,PS4,销量
D063204	船坞登陆舰,美国海军,阿灵顿号
D080557	DNF,韩服,发布会
D043552	巴西,贫民窟,羽毛球
D076096	日本,水乳套装,敏感肌
D020875	薛之谦,岳云鹏,合体
D016042	妈妈是超人,安迪,大麟子
D094714	大数据应用,搜狗,2018,大会
D059112	电磁弹射,航母
D103559	DIY,水果,垃圾食品
D060413	印度,航母
D030859	镇魂,朱一龙,白宇
D046832	糖尿病患者,水果
D087375	养花,花草,注意
D010583	付辛博,百天,女儿
D040261	纳瓦斯,电影,西班牙,首映
D097226	鲁大师,魅族,Flyme,排行榜
D015012	沈梦辰,皱纹
D097603	老罗,锤子,TNT,京东
D028230	机器人争霸,毒牙,Angelababy
D057994	特种兵,美国
D067525	语文,写作,满分,诀窍
D051797	肠癌,高危人群
D074088	polo,男人,男士,搭配大全
D043040	莫雷,火箭,快船,勇士
D092684	拼多多,月入过万,干货
D054525	俄罗斯,防空,500公里
D090870	重庆,轻轨
D053948	关节炎,掰手指
D064605	高考,666,答题,套路,学霸
D081885	绝地求生,COS,毕业照
D090242	三星,Bug,短信功能
D107914	下雨天,骨头汤,大骨棒汤
D075158	市集,玩意儿
D102845	西瓜,解渴,伤胃,便宜
D102205	吃鸡,盘点
D018342	牛仔衣,谢霆锋
D092448	中国富豪,手机
D098748	西餐,网红店,小巷子
D068837	北方,南方,月子,宝妈
D064824	天津,室内设计,内幕
D091266	黄章,魅族
D023914	蜀山之白眉真人传,杀青,王利锋
D050785	蒲公英,泡水
D069814	日本,老太太,育儿
D007971	复联3,灭霸,催泪,漫威
D041440	骑行,体验
D075398	欧米茄,解毒
D097852	刘强东,阿里巴巴,真货
D076679	辛芷蕾,UGG,杨颖,倪妮
D052199	通乳,散结,乳腺疾病
D044951	补肾,天价
D073827	赖声川,创意学
D097334	恒温器,微软,商城
